S.No,District,State,Population,Growth,Sex-Ratio,Literacy
302,Udham Singh Nagar,Uttarakhand,1648902,0.3345,920,73.1
303,Nandurbar,Maharashtra,1648295,0.2566,978,64.38
304,Gautam Buddha Nagar,Uttar Pradesh,1648115,0.3711,851,80.12
305,Bhiwani,Haryana,1634445,0.147,886,75.21
306,Dausa,Rajasthan,1634409,0.2409,905,68.16
307,Kaimur,Bihar,1626384,0.2617,920,69.34
308,Janjgir Champa,Chhattisgarh,1619707,0.2294,986,73.07
309,Pudukkottai,Tamil Nadu,1618345,0.1088,1015,77.19
310,Nagapattinam,Tamil Nadu,1616450,0.0857,1025,83.59
311,Ratnagiri,Maharashtra,1615069,-0.0482,1122,82.18
312,Kaushambi,Uttar Pradesh,1599596,0.237,908,61.28
313,Haveri,Karnataka,1597668,0.1102,950,77.4
314,Hoshiarpur,Punjab,1586625,0.0711,961,84.59
315,Etawah,Uttar Pradesh,1581810,0.1815,870,78.41
316,Sant Ravidas Nagar,Uttar Pradesh,1578213,0.1658,955,68.97
317,Kalahandi,Orissa,1576869,0.1807,1003,59.22
318,Betul,Madhya Pradesh,1575362,0.1292,971,68.9
319,Mahamaya Nagar,Uttar Pradesh,1564708,0.1712,871,71.59
320,Dewas,Madhya Pradesh,1563715,0.1953,942,69.35
321,Bharuch,Gujarat,1551019,0.1316,925,81.51
322,Rajgarh,Madhya Pradesh,1545814,0.2326,956,61.21
323,Chittaurgarh,Rajasthan,1544338,0.1608,972,61.71
324,Rajnandgaon,Chhattisgarh,1537133,0.1979,1015,75.96
325,Kolar,Karnataka,1536401,0.1077,979,74.39
326,Jammu,Jammu and Kashmir,1529958,0.1274,880,83.45
327,Kamrup,Assam,1517542,0.1569,949,75.55
328,Gurgaon,Haryana,1514432,0.7396,854,84.7
329,Amreli,Gujarat,1514190,0.0863,964,74.25
330,Shajapur,Madhya Pradesh,1512681,0.172,938,69.09
331,Kangra,Himachal Pradesh,1510075,0.1277,1012,85.67
332,Dharmapuri,Tamil Nadu,1506843,0.1634,946,68.54
